#N+,N2+,N3+,N4+,O+,O2+,O4+,NO+,N2O+,NO2+,H+,H2+,H3+,OH+,H2O+,H3O+,e,O-,O2-,O3-,O4-,NO-,N2O-,NO2-,NO3-,H-,OH-,N(2_D),N2(A_3_Sigma),N2(B_3_Pi),O(1_D),H,N,O,O2(a_1_Delta),O3,NO,N2O,NO2,NO3,N2O3,N2O4,N2O5,H2,OH,HO2,H2O2,HNO,HNO2,HNO3,N2,O2,H2O,Time(s),StepNo
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,1e-10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982.101,0,10.2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,3e-10,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.915,0,20.3189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,5e-10,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966.841,0,25.3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,6e-10,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963.037,0,29.0353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,6.75e-10,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960.495,0,31.5175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,7.25e-10,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957.941,0,34.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,7.75e-10,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.372,0,36.5051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,8.25e-10,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952.783,0,39.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,8.75e-10,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.169,0,41.5522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,9.25e-10,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.524,0,44.1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,9.75e-10,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944.84,0,46.7042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,1.025e-09,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913.653,0,76.6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,1.525e-09,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872.342,0,116.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,2.025e-09,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835.009,0,148.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,2.9e-09,80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805.496,0,152.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911.938,632.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,3.43047e-09,320
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576.36,0,233.041,0,0,0,0,0,0,0,0,368.387,3725.46,6556.37,8039.6,0,2826.43,32295.1,3895.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,4.16797e-09,1280
0,2.62075e+08,0,1.51576e+07,3762.1,1.02007e+08,222129,1664.47,0,0,54148.3,0,0,261030,1.78966e+07,608219,3.87383e+08,5.61556e+06,3.5475e+06,24057.5,3748.61,0,0,0,0,1.41625e+06,303120,2.60366e+08,2.38966e+08,5.56313e+08,6.78052e+08,4.44946e+07,1.01433e+09,1.63074e+09,1.02394e+08,822.504,319112,2816.66,0,0,0,0,0,481766,5.27562e+07,292754,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,4.87209e-09,5120
0,5.73167e+13,0,3.47739e+12,7.25751e+08,2.22661e+13,5.32754e+10,7.90373e+08,0,0,1.08992e+10,3.86831e+07,0,5.3716e+10,4.14139e+12,1.47227e+11,8.48695e+13,1.33797e+12,8.42425e+11,6.08428e+09,1.22181e+09,0,0,0,0,3.36997e+11,7.40452e+10,5.85143e+13,5.55549e+13,1.29797e+14,1.57119e+14,1.02223e+13,2.25417e+14,3.81338e+14,2.42921e+13,7.9535e+08,7.69457e+10,9.21583e+08,0,0,0,0,0,1.1446e+11,1.22168e+13,7.20763e+10,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,5.28411e-09,6400
475065,2.9105e+15,539231,1.94847e+14,2.53674e+10,1.12828e+15,3.56323e+12,3.90887e+10,0,1586.51,4.26906e+11,1.43867e+09,0,2.22323e+12,2.51025e+14,1.14285e+13,4.33023e+15,8.85576e+13,5.55251e+13,5.11163e+11,1.02315e+11,0,0,0,0,2.14487e+13,5.99237e+12,3.24138e+15,3.46551e+15,7.98339e+15,9.55057e+15,6.07054e+14,1.20365e+16,2.41264e+16,1.60062e+15,6.55533e+10,5.55295e+12,7.74791e+10,7571.7,0,0,0,0,7.74884e+12,7.60245e+14,5.86115e+12,0,0,0,0,1.92e+25,4.8e+24,5.71217e+23,5.46104e-09,7680
1.75994e+08,5.62085e+16,3.86469e+08,4.32388e+15,2.17038e+11,2.24656e+16,1.16523e+14,6.87317e+11,5653.44,3.23271e+06,4.69001e+12,1.43066e+10,0,2.76701e+13,6.83179e+15,4.84324e+14,8.51024e+16,2.75019e+15,1.71343e+15,2.43594e+13,4.85315e+12,11657.8,0,3494.14,0,6.00563e+14,2.68072e+14,7.43462e+16,9.8884e+16,2.15562e+17,2.55739e+17,1.57019e+16,2.56993e+17,7.02307e+17,4.98633e+16,3.06323e+12,2.05133e+14,3.69892e+12,8.88298e+06,0,0,0,0,2.58763e+14,2.19513e+16,2.57908e+14,306991,0,2106.32,0,1.92e+25,4.8e+24,5.71217e+23,5.67544e-09,8960
1.10095e+09,2.36794e+17,1.32296e+11,2.24328e+16,8.10204e+09,2.69429e+17,6.31605e+15,3.49906e+12,1.28797e+07,6.55616e+09,2.57801e+11,1.00146e+09,1224.46,1.0859e+13,1.08135e+17,4.06158e+16,5.41453e+17,6.68208e+16,4.20361e+16,2.77309e+15,5.56306e+14,2.03453e+07,8558.73,3.46526e+07,271457,5.55448e+15,2.45434e+16,7.67017e+17,2.52769e+18,2.53793e+18,3.82858e+18,2.3469e+17,2.26241e+18,1.72273e+19,1.49683e+18,3.91239e+14,1.16597e+16,4.28039e+14,1.29099e+10,0,0,0,0,9.92976e+15,6.9297e+17,1.70387e+16,1.43703e+09,355904,2.41621e+07,0,1.92e+25,4.8e+24,5.71217e+23,6.34097e-09,10240
2.98213e+07,1.07217e+17,2.21442e+11,1.02498e+16,2.99921e+09,3.94552e+17,1.7209e+16,4.23865e+12,3.55341e+07,2.60751e+10,1.45882e+09,1.87235e+07,627.633,1.14588e+12,8.09097e+16,8.8695e+16,5.1672e+17,6.60726e+16,4.99542e+16,7.02386e+15,1.49063e+15,6.81746e+07,62993,1.93712e+08,3.25541e+06,1.09689e+15,5.64806e+16,7.84616e+17,3.67206e+18,1.20052e+18,3.36076e+18,2.5788e+17,2.34691e+18,2.35362e+19,2.21009e+18,1.24896e+15,2.57451e+16,1.10952e+15,4.12205e+10,0,0,0,0,1.41751e+16,1.27104e+18,2.70809e+16,9.91065e+09,1.90989e+06,1.97872e+08,0,1.92e+25,4.8e+24,5.71217e+23,6.84097e-09,10560
